Title	Designation	Points	Price	Appellation	TasterName	TasterTwitterHandle	TasterTitle	Variety	Winery	DatePublished	Category	BottleSize	Alcohol	Description
Roar 2017 Pisoni Vineyard Pinot Noir (Santa Lucia Highlands)	Pisoni Vineyard	96	$75	Santa Lucia Highlands, Central Coast, California, US	Matt Kettmann	@mattkettmann	Contributing Editor	Pinot Noir	Roar	7/1/2019	Red	750 ml	14.7%	A bit lighter in the glass, this bottling from the iconic Pisoni Vineyard offers aromas of fresh strawberry, clove and mint on the beautiful nose. It's bright and snappy on the palate with raspberry, pomegranate and red-plum-skin flavors that play against an earthy backdrop of bay leaf, menthol and forest floor.
Austin Hope 2016 Cabernet Sauvignon (Paso Robles)	null	96	$50	Paso Robles, Central Coast, California, US	Matt Kettmann	@mattkettmann	Contributing Editor	Cabernet Sauvignon	Austin Hope	7/1/2019	Red	750 ml	15%	This bottling is dark in the glass and extremely lavish, with silky aromas of cassis, black cherry and caramel. The palate combines blackberry mousse, mocha and more caramel with a firm tannic structure and buoyant acidity.
Ramey 2016 Chardonnay (Fort Ross-Seaview)	null	96	$42	Fort Ross-Seaview, Sonoma, California, US	Virginie Boone	@vboone	Contributing Editor	Chardonnay	Ramey	7/1/2019	White	750 ml	14.5%	Nutty hazelnut and stony minerality combine seamlessly in this impressive white from the coastal appellation. Full bodied, concentrated and structured, it imparts steely, lively flavors of lemon peel and tangerine, finishing with a soft silkiness to the texture and overall balance of weight.
Stolo 2016 Hillside Reserve Syrah (San Luis Obispo County)	Hillside Reserve	96	$54	San Luis Obispo County, Central Coast, California, US	Matt Kettmann	@mattkettmann	Contributing Editor	Syrah	Stolo	7/1/2019	Red	750 ml	12.9%	Winemaker Nicole Bertotti Pope once again turns this extreme coastal vineyard's fruit into a uniquely savory Syrah, starting with aromas of peppercorn- and rosemary-crusted lamb roast, cassis and purple flowers. The palate pops with tremendous acidity, delivering rugged flavors of thyme, beef carpaccio and green olive.
Taittinger 2013 Brut Millésimé (Champagne)	Brut Millésimé	95	$103	Champagne, Champagne, France	Roger Voss	@vossroger	European Editor, Reviews wines from Portugal and France	Champagne Blend, Sparkling	Taittinger	7/1/2019	Sparkling	750 ml	12.5%	This blend of equal parts Chardonnay and Pinot Noir is poised and stylish. It has a nervy edge and is very mineral in texture, both characteristics typical of this vintage. At this early stage in its development, the wine holds the promise of long aging with its intense acidity and attractive texture. Drink this Champagne from 2023.
Clark-Claudon 2015 Eternity Cabernet Sauvignon (Napa Valley)	Eternity	95	$200	Napa Valley, Napa, California, US	Virginie Boone	@vboone	Contributing Editor	Cabernet Sauvignon	Clark-Claudon	7/1/2019	Red	750 ml	14.7%	This is a thick, concentrated estate-grown wine, blended with 3% Petit Verdot. Rich red fruit plays around interlaced acidity as accents of dried herb, red currant and structured tannins define a juicy midpalate of delicious intrigue and weight. This is a memorable, small-production wine from the wilds of Howell Mountain.
Two Sisters 2016 Lindsay's Vineyard Reserve Pinot Noir (Sta. Rita Hills)	Lindsay's Vineyard Reserve	95	$80	Sta. Rita Hills, Central Coast, California, US	Matt Kettmann	@mattkettmann	Contributing Editor	Pinot Noir	Two Sisters	7/1/2019	Red	750 ml	14.6%	The black cherry aroma on the nose of this bottling is enhanced by tobacco, bay leaf, dried pine and mushroom accents. The palate is loaded with dark fruit, anise and gingerbread spice, as well as more of that earthy mushroom quality. Soft tannins and lingering bright acidity complete the picture.
Patricia Green Cellars 2017 Medici Vineyard Pinot Noir (Chehalem Mountains)	Medici Vineyard	96	$48	Chehalem Mountains, Willamette Valley, Oregon, US	Paul Gregutt	@paulgwine	Contributing Editor	Pinot Noir	Patricia Green Cellars	7/1/2019	Red	750 ml	14%	The original planting dates back a half century, and this wine comes from the oldest extant Pommard and Dijon 777 vines. It's lively with excellent grip and weight, showing spiced cranberry fruit accented with lightly candied orange peel. In short, a detailed wine that dives deep with tasty baking spices through the finish. Drink now and over the next decade.
Neumeister 2015 Stradener Alte Reben Sauvignon Blanc (Vulkanland Steiermark)	Stradener Alte Reben	95	N/A	Vulkanland Steiermark, Austria	Anne Krebiehl MW	@AnneInVino	Contributing Editor	Sauvignon Blanc	Neumeister	7/1/2019	White	750 ml	13.5%	A funky, yeasty touch dominates the nose at first, some air then presents ripe juicy stone fruit. The palate is highly concentrated and unusually textured. Yeast, balm, zest and juiciness present a picture of unusual balance, intensity and depth. This is Sauvignon Blanc, but not as you know it—creamy, taut, bright and juicy, all at the same time. While this is lovely now, this is made for maturity. Drink now through 2030.
Roar 2017 Soberanes Vineyard Pinot Noir (Santa Lucia Highlands)	Soberanes Vineyard	96	$58	Santa Lucia Highlands, Central Coast, California, US	Matt Kettmann	@mattkettmann	Contributing Editor	Pinot Noir	Roar	7/1/2019	Red	750 ml	14.8%	Aromas of mulberry, red cherry, cracked pepper, wild thyme and an earthy richness show on the dynamic nose of this bottling by the Franscioni family. There is a great bounce to the palate, with tart strawberry and plum flavors that mesh with accents of tangerine rind, marjoram and dried sage.
